date;open;high;low;close;volume
2014.04.24;138.158;138.432;137.912;138.312;35783
2014.04.25;138.314;138.481;138.267;138.330;27629
2014.04.28;138.394;138.792;138.145;138.497;35819
2014.04.29;138.497;138.788;138.054;138.116;36508
2014.04.30;138.118;138.764;137.749;138.653;46057
2014.05.01;138.656;138.889;138.626;138.670;21019
2014.05.02;138.671;138.811;138.120;138.689;40799
2014.05.05;138.724;138.858;138.643;138.740;23785
2014.05.06;138.743;139.511;138.719;139.247;42961
2014.05.07;139.248;139.384;139.097;139.109;58388
2014.05.08;139.109;139.932;138.328;138.392;64629
2014.05.09;138.393;138.441;137.453;137.577;43198
2014.05.12;137.569;137.747;137.492;137.582;34223
2014.05.13;137.582;137.713;136.889;137.034;53811
2014.05.14;137.035;137.304;136.978;137.142;38925
2014.05.15;137.139;137.322;136.484;137.101;45460
2014.05.16;137.101;137.267;136.851;136.933;33834
2014.05.19;136.978;137.337;136.951;137.085;28640
2014.05.20;137.086;137.133;136.780;136.989;26225
2014.05.21;136.991;137.229;136.353;136.856;31543
2014.05.22;136.856;136.871;136.451;136.561;35117
2014.05.23;136.557;136.563;136.155;136.280;33177
2014.05.26;136.246;136.540;136.153;136.438;19326
2014.05.27;136.439;136.681;136.123;136.334;29644
2014.05.28;136.336;136.373;135.880;135.921;28642
2014.05.29;135.920;136.253;135.858;136.017;27998
2014.05.30;136.019;136.498;135.980;136.339;30340
2014.06.02;136.304;136.359;135.879;135.979;35805
2014.06.03;135.979;136.475;135.867;136.271;37123
2014.06.04;136.268;136.389;135.962;136.001;41642
2014.06.05;135.997;136.693;135.028;136.628;54705
2014.06.06;136.629;136.769;136.208;136.423;43247
2014.06.09;136.458;136.685;135.823;135.923;35632
2014.06.10;135.925;136.017;135.333;135.445;42205
2014.06.11;135.445;135.569;135.215;135.337;41066
2014.06.12;135.339;135.714;135.121;135.489;42333
2014.06.13;135.490;135.787;135.207;135.379;35882
2014.06.16;135.373;135.792;135.129;135.722;35655
2014.06.17;135.719;135.869;135.360;135.462;37785
2014.06.18;135.460;135.992;135.416;135.875;37845
2014.06.19;135.875;136.433;135.838;136.060;40000
2014.06.20;136.063;136.338;135.642;135.995;32198
2014.06.23;135.949;136.133;135.738;136.035;31070
2014.06.24;136.037;136.274;135.832;136.028;34580
2014.06.25;136.028;136.510;136.003;136.306;31221
2014.06.26;136.306;136.411;135.757;136.120;35090
2014.06.27;136.124;136.502;136.098;136.488;34345
2014.06.30;136.450;136.969;136.402;136.927;30053
2014.07.01;136.928;136.991;136.753;136.787;20306
2014.07.02;136.786;136.820;136.422;136.567;19840
2014.07.03;136.568;136.639;135.962;136.088;25201
2014.07.04;136.087;136.110;135.851;135.944;15455
2014.07.07;135.935;136.089;135.758;136.056;24109
2014.07.08;136.055;136.172;135.881;136.117;23993
2014.07.09;136.116;136.473;136.021;136.404;28213
2014.07.10;136.403;136.506;135.891;136.063;28737
2014.07.11;136.064;136.244;135.916;136.032;46432
2014.07.14;136.055;136.401;135.973;136.207;59943
2014.07.15;136.206;136.277;135.619;135.679;65493
2014.07.16;135.679;135.714;135.206;135.251;28406
2014.07.17;135.249;135.399;135.163;135.258;29829
2014.07.18;135.258;135.358;134.908;135.203;30906
2014.07.21;135.268;135.484;135.123;135.221;23368
2014.07.22;135.221;135.290;134.584;134.659;49940
2014.07.23;134.659;134.737;134.545;134.622;43492
2014.07.24;134.622;134.846;134.378;134.622;51248
2014.07.25;134.622;134.752;134.210;134.288;53051
2014.07.28;134.305;134.436;134.265;134.393;40623
2014.07.29;134.393;134.441;134.039;134.087;53807
2014.07.30;134.088;134.149;133.665;133.945;53762
2014.07.31;133.945;134.004;133.710;133.877;32420
2014.08.01;133.872;134.446;133.781;134.264;35005
2014.08.04;134.271;134.308;134.091;134.218;29284
2014.08.05;134.217;134.244;133.580;133.712;42585
2014.08.06;133.712;133.875;133.327;133.838;51687
2014.08.07;133.836;133.933;133.367;133.614;52397
2014.08.08;133.613;134.323;133.432;134.094;52960
2014.08.11;134.061;134.082;133.801;133.843;31465
2014.08.12;133.843;133.857;133.356;133.670;36874
2014.08.13;133.674;134.148;133.419;133.630;43631
2014.08.14;133.630;134.074;133.479;133.637;43915
2014.08.15;133.637;134.114;133.583;133.975;44977
2014.08.18;133.913;133.988;133.526;133.611;29223
2014.08.19;133.611;133.627;133.129;133.174;40243
2014.08.20;133.174;133.240;132.550;132.576;47561
2014.08.21;132.575;132.881;132.417;132.819;38070
2014.08.22;132.817;132.963;132.204;132.381;42957
2014.08.25;131.914;132.100;131.834;131.903;30319
2014.08.26;131.904;132.144;131.644;131.682;39818
2014.08.27;131.681;132.094;131.523;131.935;44381
2014.08.28;131.934;132.204;131.596;131.838;37032
2014.08.29;131.837;131.960;131.323;131.323;29807
2014.09.01;131.292;131.451;131.188;131.273;24812
2014.09.02;131.271;131.365;131.098;131.326;38631
2014.09.03;131.323;131.600;131.219;131.487;39092
2014.09.04;131.488;131.540;129.201;129.357;58967
2014.09.05;129.357;129.883;129.221;129.510;48589
2014.09.08;129.531;129.590;128.811;129.001;56781
2014.09.09;129.000;129.574;128.594;129.404;66399
2014.09.10;129.403;129.628;128.833;129.157;58156
2014.09.11;129.157;129.516;128.966;129.233;54262
2014.09.12;129.231;129.791;129.089;129.643;60379
2014.09.15;129.679;129.694;129.088;129.409;48841
2014.09.16;129.408;129.951;129.223;129.574;54854
2014.09.17;129.575;129.814;128.355;128.449;53639
2014.09.18;128.456;129.303;128.347;129.160;48950
2014.09.19;129.160;129.289;128.275;128.284;54009
2014.09.22;128.267;128.679;128.164;128.464;97268
2014.09.23;128.463;129.012;128.427;128.486;42215
2014.09.24;128.485;128.637;127.742;127.780;43863
2014.09.25;127.781;127.834;126.968;127.515;56799
2014.09.26;127.515;127.607;126.769;126.825;46875
2014.09.29;126.812;127.149;126.638;126.887;46692
2014.09.30;126.889;127.024;125.712;126.307;57763
2014.10.01;126.306;126.397;125.837;126.185;57895
2014.10.02;126.183;126.988;126.138;126.696;71150
2014.10.03;126.700;126.719;125.006;125.145;52132
2014.10.06;125.132;126.750;125.089;126.534;49595
2014.10.07;126.536;126.820;125.836;126.646;73989
2014.10.08;126.649;127.489;126.228;127.304;73519
2014.10.09;127.303;127.914;126.638;126.895;82394
2014.10.10;126.895;127.161;126.056;126.272;69128
2014.10.13;126.273;127.681;126.273;127.412;77625
2014.10.14;127.412;127.489;126.400;126.580;81218
2014.10.15;126.580;128.868;126.248;128.156;113044
2014.10.16;128.173;128.450;127.059;128.040;113729
2014.10.17;128.036;128.368;127.435;127.591;67640
2014.10.20;127.552;128.164;127.308;127.942;70412
2014.10.21;127.941;128.397;127.107;127.112;80797
2014.10.22;127.113;127.391;126.367;126.441;76195
2014.10.23;126.444;126.762;126.134;126.447;71117
2014.10.24;126.447;126.953;126.344;126.681;65321
2014.10.27;126.751;127.231;126.653;126.947;71688
2014.10.28;126.947;127.644;126.848;127.355;64547
2014.10.29;127.355;127.701;126.261;126.377;71684
2014.10.30;126.376;126.388;125.469;126.047;88424
2014.10.31;126.047;126.135;124.851;125.231;102892
2014.11.03;125.085;125.110;124.385;124.903;93570
2014.11.04;124.901;125.772;124.870;125.521;87384
2014.11.05;125.520;125.665;124.568;124.746;102610
2014.11.06;124.746;125.328;123.645;123.786;120163
2014.11.07;123.785;124.683;123.571;124.535;90631
2014.11.10;124.637;125.090;124.180;124.235;75514
2014.11.11;124.234;124.988;123.939;124.728;78930
2014.11.12;124.729;124.974;124.187;124.279;99066
2014.11.13;124.281;124.917;124.259;124.747;99148
2014.11.14;124.744;125.462;123.988;125.215;111269
2014.11.17;125.204;125.771;124.440;124.491;95885
2014.11.18;124.492;125.449;124.432;125.311;73934
2014.11.19;125.309;125.991;125.116;125.446;59235
2014.11.20;125.446;125.746;125.040;125.413;84296
2014.11.21;125.412;125.675;123.747;123.892;79516
2014.11.24;123.623;124.444;123.623;124.410;56449
2014.11.25;124.407;124.865;124.015;124.736;60512
2014.11.26;124.734;125.310;124.429;125.044;68393
2014.11.27;125.047;125.233;124.643;124.664;35740
2014.11.28;124.657;124.897;124.259;124.498;57848
2014.12.01;124.613;125.062;124.189;124.682;61169
2014.12.02;124.685;124.757;123.765;123.818;54975
2014.12.03;123.806;123.904;123.008;123.092;53442
2014.12.04;123.103;124.561;122.794;123.787;59826
2014.12.05;123.767;123.925;122.707;122.844;57636
2014.12.08;122.828;123.435;122.472;123.162;61884
2014.12.09;123.061;124.476;122.920;123.736;72055
2014.12.10;123.737;124.481;123.619;124.467;70683
2014.12.11;124.435;124.949;123.700;124.080;66758
2014.12.12;124.112;124.850;123.842;124.600;64055
2014.12.15;124.731;124.785;124.144;124.345;70545
2014.12.16;124.351;125.696;124.334;125.102;77617
2014.12.17;125.079;125.154;123.204;123.406;73896
2014.12.18;123.405;123.527;122.656;122.856;68692
2014.12.19;122.849;123.019;122.200;122.224;60976
2014.12.22;122.230;122.723;122.164;122.285;169863
2014.12.23;122.285;122.454;121.644;121.721;155269
2014.12.24;121.721;122.199;121.693;121.891;120599
2014.12.26;122.085;122.108;121.684;121.773;76436
2014.12.29;121.807;122.209;121.430;121.500;67561
2014.12.30;121.500;121.873;121.237;121.546;46410
2014.12.31;121.525;121.695;120.973;120.995;32048
2015.01.02;120.538;120.690;119.997;120.014;53082
2015.01.05;119.454;119.757;118.642;119.317;95141
2015.01.06;119.318;119.682;118.836;118.887;91697
2015.01.07;118.889;118.956;118.014;118.386;98091
2015.01.08;118.386;118.467;117.536;117.899;82605
2015.01.09;117.901;118.450;117.623;118.402;91031
